Roll_No,Student_Name,Attendance,Assignment_Count,Assessment_Score,Class_Evaluation,Total_Marks
1,Student1,Present,,7.1,Excellent,64.2
2,Student2,,5,6.64,Average,78.3
3,Student3,Absent,,7.11,Good,81.27
4,Student4,Present,5,4.61,Excellent,65.43
5,Student5,Present,4,6.74,Excellent,79.71
6,Student6,Present,,7.43,Good,450.0
7,Student7,Present,1,8.77,Good,78.58
8,Student8,ABSENT,2,6.38,Excellent,87.17
9,Student9,Present,0,6.03,Good,70.04
10,Student10,Absent,3,6.4,Good,65.97
11,Student11,Present,3,8.1,Good,64.88
12,Student12,,3,7.39,Excellent,65.47
13,Student13,present,5,45.0,Good,71.38
14,Student14,Present,3,7.62,Good,74.73
15,Student15,Present,3,7.12,,74.21
16,Student16,Present,4,8.16,Excellent,78.62
17,Student17,Present,1,6.16,Good,72.1
18,Student18,Present,5,6.61,Excellent,83.63
19,Student19,Present,1,6.53,,
20,Student20,Present,,5.24,Average,93.76
21,Student21,Present,5,7.36,Good,77.01
22,Student22,Present,2,7.31,Good,65.14
23,Student23,Present,0,7.01,Average,63.43
24,Student24,Present,5,6.72,Good,75.86
25,Student25,Present,4,5.3,Good,70.21
26,Student26,Absent,4,6.5,Good,77.71
27,Student27,Present,5,6.59,Excellent,75.79
28,Student28,Present,1,6.04,Average,71.42
29,Student29,Present,3,-3.0,,65.23
30,Student30,Present,1,7.48,Good,59.88
31,Student31,Present,5,9.26,Good,68.43
32,Student32,Present,4,7.21,Good,78.85
33,Student33,Present,3,7.31,Average,73.71
34,Student34,,12,6.91,Average,62.03
35,Student35,,3,4.7,Average,73.39
36,Student36,present,3,6.97,Average,75.08
37,Student37,Present,4,7.07,Good,64.93
38,Student38,Present,4,9.96,Excellent,73.23
39,Student39,Present,5,6.77,Excellent,72.47
40,Student40,Present,4,7.36,Average,62.86
41,Student41,Present,1,6.96,Good,74.86
42,Student42,Present,4,5.6,Excellent,76.49
43,Student43,Present,5,8.37,Excellent,80.66
44,Student44,,4,7.9,Good,80.43
45,Student45,Present,5,7.95,Excellent,60.98
46,Student46,Present,4,5.91,Excellent,64.5
47,Student47,Present,4,8.68,Good,76.12
48,Student48,Present,3,5.32,Good,76.11
49,Student49,Present,0,7.7,Good,76.12
50,Student50,Present,1,9.63,Good,102.82
